product_id,sku,connection_type,keyboard_type,switch_type,layout,backlight
7438,1202903,,,,,
4288,1202937,,,,,
8211,1202938,,,,,
9080,1503133,Wireless,,,,
9088,1503243,Bluetooth,,,,
9569,1602542,,,,,
3139,1701205,,,,,
6583,1703677,,Mechanical,,,
6584,1703678,,Mechanical,Optical Switch,,
6992,1703737,,,,,
190,1703750,,,,,
5243,1703782,,,,,
23471,1800231,,,,,
33008,1808294,,,,,
34840,1810781,,Mechanical,Red Switch,,
37310,18110029,,,,,
40504,19040963,,Mechanical,D Switch,,RGB
40504,19040964_SUB_1,,Mechanical,D Switch,,RGB
41106,19050529,,Mechanical,,,
69040,200300352,,Mechanical,,,
69040,200300353,,Mechanical,,,
67249,200600655,,Mechanical,Switch Blue,,LED
69040,200700097,,Mechanical,,,
80759,201000932,,,,,
149445,210200598,Wireless,,,,
149445,210200599,Wireless,,,,
296793,210700023,Wireless,Mechanical,,,
296793,210700024,Wireless,Mechanical,,,
296793,210700025,Wireless,Mechanical,,,
386914,211000720,,Mechanical,,,RGB
386914,211000721,,Mechanical,OPX Switch,,RGB
390609,211003699,Wireless,,,,
390609,211003701,Wireless,,,,
390612,211003702,Wireless,,,,
411429,220100318,Wireless,Mechanical,White Switch,,
411429,220100319,Wireless,Mechanical,Red Switch,,
411429,220100320,Wireless,Mechanical,Yellow Switch,,
411431,220100321,Wireless,Mechanical,Axis Switch,,
411431,220100323,Wireless,Mechanical,Axis Switch,,
411431,220100324,Wireless,Mechanical,Axis Switch,,
414146,220103958,,Mechanical,Tactile Switch,,
414147,220103959,,Mechanical,Tactile Switch,TKL,
440587,220700067,Wireless,,,,
442517,220706624,,,,,
447749,220805960,Wireless,Mechanical,Red Switch,,
447752,220805963,Wireless,,,,
447752,220805964,Wireless,,,,
465769,221002611,,Mechanical,Green Switch,,
465773,221002615,,Mechanical,,,
465780,221002622,,Mechanical,,,
465800,221002642,,,,,
466959,221003457,,,,,RGB
470945,221201649,,Mechanical,,,
471118,221201855,Wireless,Mechanical,Purple Switch,,
471118,221201856,Wireless,Mechanical,Red Switch,,
471118,221201857,Wireless,Mechanical,Yellow switch,,
498444,230105816,,,,,
396961,230202445,,,Optical switch,,
502541,230203658,,Mechanical,,,
502543,230203660,,,,,RGB
502548,230203665,,Mechanical,D Switch,,RGB
504681,230300020,,,Optical switch,,
507354,230302897,Wired,,Aqua Switch,,
507354,230302898,Wired,,Red Switch,,
508392,230304552,,,,,RGB
510987,230401900,Wired,Mechanical,Yellow Switch,,
510987,230401901,Wired,Mechanical,Green Switch,,
516743,230603109,Wireless,Mechanical,AKKO switch,,
516743,230603110,Wireless,Mechanical,AKKO switch,,
516747,230603113,Wireless,Mechanical,AKKO switch,,
516747,230603114,Wireless,Mechanical,AKKO switch,,
516749,230603115,Wireless,Mechanical,AKKO switch,,
516749,230603116,Wireless,Mechanical,AKKO switch,,
517166,230603463,,,,,
517899,230604096,Wired,,,,
519628,230701233,"Bluetooth, Wireless",,,,
519628,230701234,"Bluetooth, Wireless",,,,
523431,230800431,,Mechanical,Green Switch,,
523431,230800432,,Mechanical,Yellow Switch,,
523433,230800433,,Mechanical,Green Switch,,
523433,230800434,,Mechanical,Yellow Switch,,
527659,230901160,Wireless,Mechanical,,,
528779,230903453,"Bluetooth, Wireless",,,,
528779,230903454,"Bluetooth, Wireless",,,,
528779,230903455,"Bluetooth, Wireless",,,,
528783,230903458,Wireless,Mechanical,,Tkl,
528783,230903459,Wireless,Mechanical,,Tkl,
531646,231002801,"Bluetooth, Wireless",,,,
531646,231002802,"Bluetooth, Wireless",,,,
531668,231002823,,Mechanical,,,RGB
532962,231004191,"Wireless, Wired",,Red Switch,,LED
534836,231101830,Wireless,Mechanical,Dream switch,,
534860,231101853,,Mechanical,Red Switch,,
534860,231101854,,Mechanical,Blue Switch,,
534860,231101855,,Mechanical,Red Switch,,
534860,231101856,,Mechanical,Blue Switch,,
534862,231101857,,Mechanical,Blue Switch,,
534862,231101858,,Mechanical,Red Switch,,
535485,231103018,,,,,RGB
535498,231103025,Wireless,,,,
535498,231103026,Wireless,,,,
535498,231103028,Wireless,,,,
535498,231103029,Wireless,,,,
535498,231103030,Wireless,,,,
535498,231103031,Wireless,,,,
544144,240200110,Wireless,Mechanical,Dream switch,,
544994,240201246,Wireless,,Red Switch,,
544994,240201247,Wireless,,Blue Switch,,
544995,240201248,Wireless,,Snow Switch,,
544995,240201249,Wireless,,Storm Switch,,
544995,240201250,Wireless,,Storm Switch,,
545327,240201251,Wireless,,Storm Switch,,
544999,240201252,,,Storm Switch,,
545853,240300770,,,,,
547975,240302591,Wired,,,TKL,
548291,240303042,,Mechanical,Akko switch,,RGB
554173,240502373,"Bluetooth, Wireless",Mechanical,,,
554173,240502374,"Bluetooth, Wireless",Mechanical,,,
554173,240502375,"Bluetooth, Wireless",Mechanical,,,
557178,240504993,,Mechanical,Dream switch,,LED
557178,240504994,,Mechanical,Firefly switch,,LED
557180,240504996,,Mechanical,Optical switch,,
561028,240602378,,Mechanical,,,
561028,240602389,,Mechanical,,,
561832,240603270,Wireless,Mechanical,V3 Switch,,
561832,240603274,Wireless,Mechanical,Agile Switch,,
561832,240603279,Wireless,Mechanical,V3 Switch,,
561832,240603284,Wireless,Mechanical,Reaper Switch,,
561852,240603288,Wireless,Mechanical,,,
561852,240603293,Wireless,Mechanical,,,
561852,240603297,Wireless,Mechanical,,,
561853,240603298,Wireless,Mechanical,Reaper switch,,
561852,240603302,Wireless,Mechanical,,,
561853,240603303,Wireless,Mechanical,vein switch,,
561853,240603307,Wireless,Mechanical,Reaper switch,,
561862,240603308,Wireless,Mechanical,,,
561853,240603313,Wireless,Mechanical,V3 Switch,,
561862,240603314,Wireless,Mechanical,,,
561853,240603319,Wireless,Mechanical,V3 Switch,,
561853,240603325,Wireless,Mechanical,V3 Switch,,
561883,240603328,Wireless,Mechanical,Reaper Switch,,
565856,240703710,,Mechanical,,,
565888,240703742,,Mechanical,Optical Switch,,
566356,240704210,,Mechanical,,,
566423,240704273,,,,,
566566,240704389,Wireless,,,,
566562,240704391,,,,,
566582,240704405,Wireless,,,TKL,
566582,240704407,Wireless,,,TKL,
568213,240706054,,Mechanical,Dream switch,,LED
570735,240803304,Wireless,,,,
570735,240803305,Wireless,,,,
570874,240803460,,Mechanical,Switch V3,,RGB
570894,240803480,,Mechanical,,,RGB
573242,240805945,Wireless,,,,
573263,240805966,Wireless,,,,
573267,240805967,,Mechanical,Dream switch,,RGB
573267,240805970,,Mechanical,Dream switch,,RGB
575679,240902581,,Mechanical,,,RGB
582020,240908887,,Mechanical,,,
582030,240908895,Wired,,,,RGB
582038,240908901,Wireless,,,Tkl,RGB
582038,240908908,Wireless,,,Tkl,RGB
582059,240908921,Wired,,,,
582069,240908928,,,Blue Switch,,
584592,241002018,,Mechanical,,,
584590,241002019,,Membrane/Hybrid,,,
585061,241002398,,Mechanical,Red Switch,,
585060,241002403,Wireless,,Storm Switch,,
585064,241002407,,Mechanical,Dream switch,,RGB
585065,241002408,Wireless,Mechanical,Vector switch,,
585060,241002412,Wireless,,Snow Switch,,
585070,241002414,,Mechanical,Dream switch,,RGB
586912,241004148,Wireless,,,,
586912,241004155,Wireless,,,,
586912,241004161,Wireless,,,,
586912,241004166,Wireless,,,,
589534,241101258,,Mechanical,Switch Blue,,LED
592094,241105103,Wireless,Mechanical,Vector switch,,
592094,241105110,Wireless,Mechanical,V3 switch,,
593196,241106182,Wireless,,,,RGB
593196,241106206,Wireless,,,,RGB
593727,241106421,"Wireless, Wired",,Brown Switch,,LED
596351,241204512,Wireless,Mechanical,V4 switch,,
596357,241204513,Wireless,Mechanical,Vector switch,,
596349,241204514,Wireless,Mechanical,Ramboo switch,,
596354,241204517,Wireless,Mechanical,Reaper switch,,
596352,241204518,Wireless,Mechanical,V4 switch,,
596357,241204520,Wireless,Mechanical,Vector switch,,
596358,241204522,Wireless,Mechanical,V3 switch,,
596363,241204526,Wireless,Mechanical,Latte switch,,
597059,241205217,Wired,,,TKL,
597059,241205225,Wired,,,TKL,
597059,241205229,Wired,,,TKL,
599510,250100117,Wireless,Mechanical,Vector Switch,,
599510,250100118,Wireless,Mechanical,Vector Switch,,
615654,250116321,Wireless,Mechanical,,,
615654,250116322,Wireless,Mechanical,,,
615654,250116323,Wireless,Mechanical,,,
615720,250116387,Wireless,Mechanical,Magnetic Switch,,
615953,250116618,Wireless,Mechanical,V3 switch,,
615953,250116619,Wireless,Mechanical,V3 switch,,
615953,250116620,Wireless,Mechanical,V3 switch,,
615953,250116621,Wireless,Mechanical,V3 switch,,
615953,250116622,Wireless,Mechanical,V3 switch,,
616581,250200076,,Mechanical,,,LED
616556,250200077,,Mechanical,,,LED
617782,250203160,Wireless,Mechanical,Yellow Switch,,
617782,250203167,Wireless,Mechanical,Yellow Switch,,
568225,250203275,,Mechanical,Dream switch,,RGB
617898,250203279,,Mechanical,,,RGB
619945,250206341,Wired,Mechanical,Red Switch,,
619937,250206342,Wireless,Mechanical,Reaper Switch,,
619943,250206343,,Mechanical,AKKO Switch,,RGB
619945,250206347,Wired,Mechanical,Red Switch,,
620476,250300509,,Mechanical,Dream switch,,RGB
620848,250300971,,,,,
620850,250300972,Wireless,Mechanical,Blue Switch,,
620851,250300973,,Mechanical,Brown Switch,,
620851,250300977,,Mechanical,Blue Switch,,
621557,250301449,Wireless,Mechanical,Cloud switch,,
621558,250301450,Wireless,,,,
621561,250301451,Wireless,Mechanical,Cloud switch,,
621563,250301452,Wireless,Mechanical,Cloud switch,,
621564,250301453,Wireless,,,TKL,
621557,250301454,Wireless,Mechanical,Cloud switch,,
621566,250301455,,Mechanical,Dream switch,,
